State,District,Market,Commodity,Variety,Arrival_Date
Chattisgarh,Bastar,Gidam,Amla,Other,19/03/2019
Gujarat,Ahmedabad,Ahmedabad,Amla,Other,06/11/2019
Punjab,Sangrur,Sangrur,Amla,Amla,03/11/2019
Rajasthan,Udaipur,Udaipur,Amla(Nelli Kai),Other,01/02/2019
Madhya Pradesh,Shivpuri,Shivpuri,Amla,Amla,23/01/2019
Madhya Pradesh,Narsinghpur,Gadarwada,Amla,Amla,29/12/2019
Rajasthan,Kota,Kota (FV),Amla(Nelli Kai),Other,02/01/2019
Gujarat,Vadodara(Baroda),Vadodara,Amla,Other,23/12/2019
Andhra Pradesh,Anantapur,"P. Ramacharyulu Park,RBZ",Amla,Other,31/12/2019
Chattisgarh,Koria,Manendragarh,Amla,Other,09/01/2019
Andhra Pradesh,Nalgonda,Miryalaguda,Black Grams (Urd Beans),Desi,11/06/2019
Gujarat,Amreli,Rajula,Black Grams (Urd Beans),Other,10/07/2019
Jharkhand,Sahebgang,Sahebganj,Black Grams (Urd Beans),Other,11/12/2019
Karnataka,Bangalore,Bangalore,Black Grams (Urd Beans),Black Gram (Whole),05/02/2019
Kerala,Alappuzha,Chengannur,Black Grams (Urd Beans),Other,09/12/2019
Kerala,Kottayam,Kottayam,Black Grams (Urd Beans),Black Gram (Whole),14/01/2019
Madhya Pradesh,Neemuch,Neemuch,Black Grams (Urd Beans),Other,18/03/2019
Madhya Pradesh,Neemuch,Neemuch,Black Grams (Urd Beans),Other,19/03/2019
Maharashtra,Sholapur,Akkalkot,Black Grams (Urd Beans),Other,24/08/2019
Tamil Nadu,Cuddalore,Virudhachalam,Black Grams (Urd Beans),Other,10/12/2019
Bihar,Bhabhua,Mohana,Kabuli Chana(Chickpeas-White),Other,26/05/2019
Gujarat,Porbandar,Porbandar,Kabuli Chana(Chickpeas-White),Other,08/07/2019
Haryana,Sirsa,Sirsa,Kabuli Chana(Chickpeas-White),Other,26/05/2019
Madhya Pradesh,Burhanpur,Burhanpur,Kabuli Chana(Chickpeas-White),Other,07/04/2019
Madhya Pradesh,Dhar,Dhar,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),20/05/2019
Punjab,Muktsar,Muktsar,Kabuli Chana(Chickpeas-White),Other,07/12/2019
Kerala,Palakad,Palakkad,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),14/07/2019
Madhya Pradesh,Burhanpur,Burhanpur,Kabuli Chana(Chickpeas-White),Other,07/04/2019
Madhya Pradesh,Shajapur,Shujalpur,Kabuli Chana(Chickpeas-White),Other,17/08/2019
West Bengal,Howrah,Ramkrishanpur(Howrah),Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),22/05/2019
Assam,Kamrup,P.O. Uparhali Guwahati,Cummin Seed(Jeera),Other,01/03/2019
Gujarat,Ahmedabad,Sanad,Cummin Seed(Jeera),Other,07/12/2019
Gujarat,Amreli,Amreli,Cummin Seed(Jeera),Other,01/08/2019
Kerala,Alappuzha,Alappuzha,Cummin Seed(Jeera),Other,04/06/2019
Madhya Pradesh,Neemuch,Neemuch,Cummin Seed(Jeera),Other,18/02/2019
Rajasthan,Nagaur,Merta City,Cummin Seed(Jeera),Other,24/02/2019
Rajasthan,Jodhpur,Jodhpur(Grain)(Phalodi),Cummin Seed(Jeera),Other,30/04/2019
Gujarat,Patan,Harij,Cummin Seed(Jeera),Other,16/08/2019
Maharashtra,Mumbai,Mumbai,Cummin Seed(Jeera),Other,22/06/2019
Karnataka,Gadag,Gadag,Cummin Seed(Jeera),Other,13/03/2019
Assam,Dibrugarh,Dibrugarh,Peas(Dry),Other,19/01/2019
Assam,Lakhimpur,North Lakhimpur,Peas(Dry),Peas(Dry),02/08/2019
Chattisgarh,Jashpur,Pathalgaon,Peas(Dry),Other,22/09/2019
Jharkhand,Dumka,Dumka,Peas(Dry),Other,13/02/2019
Jammu and Kashmir,Jammu,Jammu (Grain Mandi),Peas(Dry),Peas(Dry),03/06/2019
Madhya Pradesh,Sagar,Garhakota,Peas(Dry),Other,21/07/2019
Uttar Pradesh,Siddharth Nagar,Sahiyapur,Peas(Dry),Peas(Dry),10/03/2019
Uttar Pradesh,Varanasi,Varanasi(Grain),Peas(Dry),Peas(Dry),04/09/2019
Uttrakhand,Dehradoon,Vikasnagar,Peas(Dry),Other,18/01/2019
West Bengal,Burdwan,Asansol,Peas(Dry),Other,20/06/2019
Gujarat,Navsari,Vansda,Bhindi(Ladies Finger),Other,02/03/2019
Himachal Pradesh,Chamba,Chamba,Bhindi(Ladies Finger),Bhindi,11/09/2019
Kerala,Kottayam,Kuruppanthura,Bhindi(Ladies Finger),Bhindi,14/08/2019
Maharashtra,Sholapur,Akluj,Bhindi(Ladies Finger),Other,01/05/2019
Orissa,Bargarh,Bargarh,Bhindi(Ladies Finger),Other,19/07/2019
Punjab,Fazilka,Fazilka,Bhindi(Ladies Finger),Other,09/06/2019
Tripura,South District,Santir Bazar,Bhindi(Ladies Finger),Bhindi,16/07/2019
Uttar Pradesh,Hathras,Haathras,Bhindi(Ladies Finger),Bhindi,03/06/2019
West Bengal,Medinipur(E),Tamluk (Medinipur E),Bhindi(Ladies Finger),Other,03/04/2019
West Bengal,Puruliya,Kasipur,Bhindi(Ladies Finger),Bhindi,16/09/2019
Haryana,Faridabad,Hodal,Galgal(Lemon),Galgal(Lemon),28/04/2019
Himachal Pradesh,Mandi,Chail Chowk,Galgal(Lemon),Other,27/11/2019
Kerala,Alappuzha,Cherthala,Galgal(Lemon),Galgal(Lemon),11/05/2019
Punjab,Hoshiarpur,Dasuya,Galgal(Lemon),Other,19/01/2019
Uttar Pradesh,Agra,Agra,Galgal(Lemon),Galgal(Lemon),29/06/2019
Himachal Pradesh,Mandi,Chail Chowk,Galgal(Lemon),Other,23/11/2019
Kerala,Ernakulam,Piravam,Galgal(Lemon),Other,10/08/2019
Kerala,Ernakulam,Piravam,Galgal(Lemon),Other,04/11/2019
Punjab,Hoshiarpur,Dasuya,Galgal(Lemon),Other,02/01/2019
Punjab,Hoshiarpur,Dasuya,Galgal(Lemon),Other,25/01/2019
Assam,Bangaigaon,Bongiagaon,Lentil(Masur),Other,22/12/2019
Jharkhand,Ranchi,Khunti,Lentil(Masur),Other,12/07/2019
Madhya Pradesh,Panna,Panna,Lentil(Masur),Masoor Gola,28/02/2019
Manipur,Thoubal,Thoubal,Lentil(Masur),Other,13/10/2019
Uttar Pradesh,Muzaffarnagar,Muzzafarnagar,Lentil(Masur),Masoor Gola,29/04/2019
Bihar,Bhagalpur,Bhagalpur,Lentil(Masur),Masur Dal,05/02/2019
Chattisgarh,Bilaspur,Munguli,Lentil(Masur),Other,19/10/2019
Manipur,Imphal East,Lamlong Bazaar,Lentil(Masur),Other,12/08/2019
Rajasthan,Jhalawar,Jhalarapatan,Lentil(Masur),Other,11/02/2019
West Bengal,Medinipur(W),Medinipur(West),Lentil(Masur),Masur Dal,17/08/2019
Andaman and Nicobar,South Andaman,Port Blair,Mint(Pudina),Other,27/05/2019
Gujarat,Ahmedabad,Ahmedabad(Rajnagar sub yard),Mint(Pudina),Other,12/01/2019
Kerala,Kollam,Kollam,Mint(Pudina),Other,20/07/2019
Punjab,Tarntaran,Harike,Mint(Pudina),Mint(Pudina),05/05/2019
Rajasthan,Alwar,Alwar(FV),Mint(Pudina),Other,01/05/2019
Gujarat,Ahmedabad,Ahmedabad(Rajnagar sub yard),Mint(Pudina),Other,13/07/2019
Maharashtra,Nagpur,Kamthi,Mint(Pudina),Other,26/10/2019
Gujarat,Dahod,Dahod(Veg. Market),Mint(Pudina),Mint(Pudina),03/04/2019
Punjab,Tarntaran,Harike,Mint(Pudina),Mint(Pudina),03/03/2019
Rajasthan,Jodhpur,Jodhpur(F&V)(Paota),Mint(Pudina),Other,30/08/2019
Andhra Pradesh,Srikakulam,Kanchili,Paddy(Dhan),Paddy,13/06/2019
Chattisgarh,Surguja,Sitapur,Paddy(Dhan),Common,19/01/2019
Haryana,Yamuna Nagar,Bilaspur,Paddy(Dhan),Paddy,22/10/2019
Jharkhand,Jamtara,Jamtara,Paddy(Dhan),Other,01/08/2019
Karnataka,Raichur,Raichur,Paddy(Dhan),Rajahamsa,24/02/2019
Maharashtra,Raigad,Murud,Paddy(Dhan),Other,16/02/2019
Pondicherry,Pondicherry,Thattanchavady,Paddy(Dhan),White Ponni,11/07/2019
Tamil Nadu,Sivaganga,Karaikudi,Paddy(Dhan),Red,17/05/2019
Telangana,Ranga Reddy Dist.,Tanduru,Paddy(Dhan),Hansa,05/05/2019
West Bengal,Bankura,Khatra,Paddy(Dhan),Swarna Masuri (New),26/03/2019
Himachal Pradesh,Kullu,Bandrol,Persimon(Japani Fal),Other,28/09/2019
Himachal Pradesh,Kullu,Bandrol,Persimon(Japani Fal),Other,23/10/2019
Himachal Pradesh,Kullu,Bhuntar,Persimon(Japani Fal),Other,21/09/2019
Himachal Pradesh,Mandi,Dhanotu (Mandi),Persimon(Japani Fal),Other,03/10/2019
Himachal Pradesh,Mandi,Mandi(Mandi),Persimon(Japani Fal),Other,19/11/2019
Himachal Pradesh,Kullu,Bandrol,Persimon(Japani Fal),Other,05/10/2019
Himachal Pradesh,Kullu,Bhuntar,Persimon(Japani Fal),Other,02/11/2019
Himachal Pradesh,Kullu,Kullu,Persimon(Japani Fal),Other,27/10/2019
Himachal Pradesh,Mandi,Dhanotu (Mandi),Persimon(Japani Fal),Other,22/09/2019
Himachal Pradesh,Mandi,Mandi(Mandi),Persimon(Japani Fal),Other,28/09/2019
Andaman and Nicobar,Nicobar,Car Nicobar,Raddish,Other,09/09/2019
Andaman and Nicobar,South Andaman,Port Blair,Raddish,Other,18/06/2019
