STATE,DISTRICT,MARKET,COMMODITY,DATE,MIN_PRICE,MAX_PRICE,MOD_PRICE
Chattisgarh,Bastar,Gidam,Amla,19/03/2019,223.0,6732.0,2041.0
Gujarat,Ahmedabad,Ahmedabad,Amla,06/11/2019,123.0,6715.0,2022.0
Punjab,Sangrur,Sangrur,Amla,03/11/2019,318.0,5971.0,2206.0
Rajasthan,Udaipur,Udaipur,Amla(Nelli Kai),01/02/2019,829.0,5578.0,1889.0
Madhya Pradesh,Shivpuri,Shivpuri,Amla,23/01/2019,109.0,6216.0,2189.0
Madhya Pradesh,Narsinghpur,Gadarwada,Amla,29/12/2019,216.0,6283.0,2146.0
Rajasthan,Kota,Kota (FV),Amla(Nelli Kai),02/01/2019,729.0,5674.0,1821.0
Gujarat,Vadodara(Baroda),Vadodara,Amla,23/12/2019,245.0,6541.0,2175.0
Andhra Pradesh,Anantapur,"P. Ramacharyulu Park,RBZ",Amla,31/12/2019,465.0,6862.0,2025.0
Chattisgarh,Koria,Manendragarh,Amla,09/01/2019,239.0,6680.0,2093.0
Andhra Pradesh,Nalgonda,Miryalaguda,Black Grams (Urd Beans),11/06/2019,5085.0,5872.0,3075.0
Gujarat,Amreli,Rajula,Black Grams (Urd Beans),10/07/2019,4868.0,5723.0,2929.0
Jharkhand,Sahebgang,Sahebganj,Black Grams (Urd Beans),11/12/2019,4400.0,5431.0,2665.0
Karnataka,Bangalore,Bangalore,Black Grams (Urd Beans),05/02/2019,4309.0,5519.0,2681.0
Kerala,Alappuzha,Chengannur,Black Grams (Urd Beans),09/12/2019,4248.0,5469.0,2640.0
Kerala,Kottayam,Kottayam,Black Grams (Urd Beans),14/01/2019,4228.0,5393.0,2608.0
Madhya Pradesh,Neemuch,Neemuch,Black Grams (Urd Beans),18/03/2019,4155.0,5310.0,2555.0
Madhya Pradesh,Neemuch,Neemuch,Black Grams (Urd Beans),19/03/2019,4155.0,5310.0,2555.0
Maharashtra,Sholapur,Akkalkot,Black Grams (Urd Beans),24/08/2019,3928.0,5285.0,2498.0
Tamil Nadu,Cuddalore,Virudhachalam,Black Grams (Urd Beans),10/12/2019,3723.0,4987.0,2327.0
Bihar,Bhabhua,Mohana,Kabuli Chana(Chickpeas-White),26/05/2019,7725.0,4883.0,13025.0
Gujarat,Porbandar,Porbandar,Kabuli Chana(Chickpeas-White),08/07/2019,7642.0,4698.0,11624.0
Haryana,Sirsa,Sirsa,Kabuli Chana(Chickpeas-White),26/05/2019,7606.0,4618.0,11164.0
Madhya Pradesh,Burhanpur,Burhanpur,Kabuli Chana(Chickpeas-White),07/04/2019,7149.0,4458.0,12994.0
Madhya Pradesh,Dhar,Dhar,Kabuli Chana(Chickpeas-White),20/05/2019,7172.0,4442.0,12775.0
Punjab,Muktsar,Muktsar,Kabuli Chana(Chickpeas-White),07/12/2019,6941.0,4128.0,11642.0
Kerala,Palakad,Palakkad,Kabuli Chana(Chickpeas-White),14/07/2019,7320.0,4405.0,11563.0
Madhya Pradesh,Burhanpur,Burhanpur,Kabuli Chana(Chickpeas-White),07/04/2019,7149.0,4458.0,12994.0
Madhya Pradesh,Shajapur,Shujalpur,Kabuli Chana(Chickpeas-White),17/08/2019,7282.0,4323.0,11067.0
West Bengal,Howrah,Ramkrishanpur(Howrah),Kabuli Chana(Chickpeas-White),22/05/2019,6543.0,3785.0,11548.0
Assam,Kamrup,P.O. Uparhali Guwahati,Cummin Seed(Jeera),01/03/2019,6674.0,5518.0,7377.0
Gujarat,Ahmedabad,Sanad,Cummin Seed(Jeera),07/12/2019,6513.0,5410.0,7188.0
Gujarat,Amreli,Amreli,Cummin Seed(Jeera),01/08/2019,6380.0,5460.0,7250.0
Kerala,Alappuzha,Alappuzha,Cummin Seed(Jeera),04/06/2019,5833.0,5165.0,6431.0
Madhya Pradesh,Neemuch,Neemuch,Cummin Seed(Jeera),18/02/2019,5753.0,4994.0,5904.0
Rajasthan,Nagaur,Merta City,Cummin Seed(Jeera),24/02/2019,5237.0,4708.0,5254.0
Rajasthan,Jodhpur,Jodhpur(Grain)(Phalodi),Cummin Seed(Jeera),30/04/2019,5230.0,4740.0,5344.0
Gujarat,Patan,Harij,Cummin Seed(Jeera),16/08/2019,6298.0,5365.0,6820.0
Maharashtra,Mumbai,Mumbai,Cummin Seed(Jeera),22/06/2019,5670.0,4959.0,5831.0
Karnataka,Gadag,Gadag,Cummin Seed(Jeera),13/03/2019,5916.0,5162.0,6377.0
Assam,Dibrugarh,Dibrugarh,Peas(Dry),19/01/2019,523.0,3676.0,1310.0
Assam,Lakhimpur,North Lakhimpur,Peas(Dry),02/08/2019,544.0,3615.0,1331.0
Chattisgarh,Jashpur,Pathalgaon,Peas(Dry),22/09/2019,557.0,3523.0,1330.0
